nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones,titulo,canal,fecha_publicacion,vistas
CHIHIRO,Billie Eilish,38,2024-07-10,2024-05-17,93.0,,,,
Heading South,Zach Bryan,39,2024-07-10,2019-09-30,85.0,,,,
Lies Lies Lies,Morgan Wallen,40,2024-07-10,2024-07-05,77.0,,,,
HOT TO GO!,Chappell Roan,41,2024-07-10,2023-09-22,88.0,,,,
Saturn,SZA,42,2024-07-10,2024-02-22,90.0,,,,
Tough,Quavo,43,2024-07-10,2024-07-03,83.0,,,,
As It Was,Harry Styles,44,2024-07-10,2022-05-20,91.0,,,,
KEHLANI,Jordan Adetunji,45,2024-07-10,2024-06-24,71.0,,,,
Like That,Future,46,2024-07-10,2024-03-22,90.0,,,,
Thinkin’ Bout Me,Morgan Wallen,47,2024-07-10,2023-03-03,85.0,,,,
greedy,Tate McRae,48,2024-07-10,2023-09-15,89.0,,,,
Evergreen,Richy Mitch & The Coal Miners,49,2024-07-10,2017-05-17,87.0,,,,
28,Zach Bryan,50,2024-07-10,2024-07-04,78.0,,,,
THE BOX MEDLEY FUNK 2,THE BOX,1,2024-07-10,2024-04-18,83.0,,,,
MTG QUEM NÃO QUER SOU EU,DJ TOPO,2,2024-07-10,2024-05-10,85.0,,,,
Sonho Dela (Cowboy),CountryBeat,3,2024-07-10,2024-05-03,82.0,,,,
Sagrado Profano,Luísa Sonza,4,2024-07-10,2024-05-28,77.0,,,,
Desilusão (MTG) (feat. Loirin Prod),Bruno & Marrone,5,2024-07-10,2024-07-04,72.0,,,,
Mtg Forró e Desmantelo,dj sv,6,2024-07-10,2024-03-20,83.0,,,,
MTG QUERO VER SE VOCÊ TEM ATITUDE,Dj Luan Gomes,7,2024-07-10,2024-04-21,81.0,,,,
EU SOU SENTIMENTO,Luan Santana,8,2024-07-10,2024-06-06,81.0,,,,
Foi Intenso - Ao Vivo,Zé Neto & Cristiano,9,2024-07-10,2024-05-01,82.0,,,,
Gosta De Rua - Ao Vivo,Felipe e Rodrigo,10,2024-07-10,2024-05-03,71.0,,,,
Filha do Deputado,Mc IG,11,2024-07-10,2024-06-25,74.0,,,,
Sorriso no Rosto,Mc IG,12,2024-07-10,2024-05-28,81.0,,,,
Triplex - Ao Vivo,Matheus Fernandes,13,2024-07-10,2024-05-22,77.0,,,,
Me Caiu Tão Bem - Ao Vivo,Murilo Huff,14,2024-07-10,2024-06-06,78.0,,,,
Mtg Quero Te Encontrar,DJ JZ,15,2024-07-10,2024-02-23,82.0,,,,
FALTA DE QUÊ?,Luan Pereira,16,2024-07-10,2024-05-16,82.0,,,,
Morar Nesse Motel,Gusttavo Lima,17,2024-07-10,2024-06-27,74.0,,,,
Deu Moral - Ao Vivo,Zé Neto & Cristiano,18,2024-07-10,2024-04-11,81.0,,,,
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,19,2024-07-10,2024-06-28,81.0,,,,
Digitando,Gustavo Moura & Rafael,20,2024-07-10,2023-06-23,82.0,,,,
Minha Herança,Ana Castela,21,2024-07-10,2024-05-30,78.0,,,,
Eu So Comi Ela uma Vez,Dj VN Maestro,22,2024-07-10,2023-11-19,76.0,,,,
Nosso Primeiro Beijo - Ao Vivo,Gloria Groove,23,2024-07-10,2024-05-30,77.0,,,,
Torre Eiffel - Ao Vivo,Manu,24,2024-07-10,2024-06-14,61.0,,,,
Vamo de Pagodin,Mc Daniel,25,2024-07-10,2024-05-03,76.0,,,,
Haverá Sinais - Ao Vivo,Jorge & Mateus,26,2024-07-10,2024-02-14,81.0,,,,
Dois Tristes - Ao Vivo,Simone Mendes,27,2024-07-10,2024-04-04,74.0,,,,
Anestesiado - Ao Vivo,Murilo Huff,28,2024-07-10,2024-03-28,68.0,,,,
MTG PASSA PASSA PRA EU SARRAR,Mc Livinho,29,2024-07-10,2024-06-06,74.0,,,,
Malvada,TrapLaudo,30,2024-07-10,2024-06-20,69.0,,,,
Aproveita - Ao Vivo,Clayton & Romário,31,2024-07-10,2024-05-31,74.0,,,,
Página De Ex - Ao Vivo,Mari Fernandez,32,2024-07-10,2024-04-26,78.0,,,,
Morena De Goiânia - Ao Vivo,Hugo & Guilherme,33,2024-07-10,2024-03-21,79.0,,,,
Apaguei Pra Todos - Ao Vivo,Ferrugem,34,2024-07-10,2024-04-18,76.0,,,,
Tigrinho,Thiago Brava,35,2024-07-10,2024-02-07,38.0,,,,
Quase Algo - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,36,2024-07-10,2023-12-15,72.0,,,,
Melhor Vibe,MC Ryan SP,37,2024-07-10,2024-03-20,77.0,,,,
Melhor Dia 13 - Era Uma Vez,Marcos Baroni,38,2024-07-10,2024-06-13,77.0,,,,
Aquela Pessoa - Ao Vivo,Henrique & Juliano,39,2024-07-10,2017-07-07,77.0,,,,
TUMBÁTUM,Tropa do Bruxo,40,2024-07-10,2023-12-22,78.0,,,,
Vem Desestressar,MC PH,41,2024-07-10,2024-04-10,74.0,,,,
Amor Na Praia,NATTAN,42,2024-07-10,2024-03-07,77.0,,,,
Vazou Na Braquiara - Ao Vivo,Hugo & Guilherme,43,2024-07-10,2024-03-21,73.0,,,,
Não Fosse Tão Tarde - MTG Remix,Lou Garcia,44,2024-07-10,2024-05-29,70.0,,,,
De Trás Pra Frente - Ao Vivo,Henrique & Juliano,45,2024-07-10,2017-07-07,76.0,,,,
BIRDS OF A FEATHER,Billie Eilish,46,2024-07-10,2024-05-17,98.0,,,,
Piração,Kaká e Pedrinho,47,2024-07-10,2024-04-19,75.0,,,,
CONFISSÕES PT2,Nagalli,48,2024-07-10,2024-04-25,78.0,,,,
Dedo do Meio - Ao Vivo,Murilo Huff,49,2024-07-10,2024-03-28,79.0,,,,
Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,50,2024-07-10,2023-06-22,78.0,,,,
A Bar Song (Tipsy),Shaboozey,1,2024-07-10,2024-05-31,86.0,,,,
I Had Some Help (Feat. Morgan Wallen),Post Malone,2,2024-07-10,2024-05-10,95.0,,,,
Not Like Us,Kendrick Lamar,3,2024-07-10,2024-05-04,96.0,,,,
Espresso,Sabrina Carpenter,4,2024-07-10,2024-04-12,99.0,,,,
Please Please Please,Sabrina Carpenter,5,2024-07-10,2024-06-06,98.0,,,,
BIRDS OF A FEATHER,Billie Eilish,6,2024-07-10,2024-05-17,98.0,,,,
Beautiful Things,Benson Boone,7,2024-07-10,2024-04-05,90.0,,,,
MILLION DOLLAR BABY,Tommy Richman,8,2024-07-10,2024-04-26,94.0,,,,
"Good Luck, Babe!",Chappell Roan,9,2024-07-10,2024-04-05,94.0,,,,
Lies Lies Lies,Morgan Wallen,10,2024-07-10,2024-07-05,77.0,,,,
Too Sweet,Hozier,11,2024-07-10,2024-03-22,89.0,,,,
Houdini,Eminem,12,2024-07-10,2024-05-31,94.0,,,,
Austin (Boots Stop Workin'),Dasha,13,2024-07-10,2024-02-16,91.0,,,,
28,Zach Bryan,14,2024-07-10,2024-07-04,78.0,,,,
Pink Skies,Zach Bryan,15,2024-07-10,2024-05-24,89.0,,,,
Stargazing,Myles Smith,16,2024-07-10,2024-05-10,92.0,,,,
Stick Season,Noah Kahan,17,2024-07-10,2022-10-14,90.0,,,,
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,18,2024-07-10,2023-08-25,88.0,,,,
Lose Control,Teddy Swims,19,2024-07-10,2023-09-15,90.0,,,,
Last Night,Morgan Wallen,20,2024-07-10,2023-03-03,83.0,,,,
Tough,Quavo,21,2024-07-10,2024-07-03,83.0,,,,
Fortnight (feat. Post Malone),Taylor Swift,22,2024-07-10,2024-04-18,91.0,,,,
Pour Me A Drink (Feat. Blake Shelton),Post Malone,23,2024-07-10,2024-06-21,85.0,,,,
LUNCH,Billie Eilish,24,2024-07-10,2024-05-17,95.0,,,,
Miles On It,Marshmello,25,2024-07-10,2024-05-03,84.0,,,,
GIRLS,The Kid LAROI,26,2024-07-10,2024-06-28,81.0,,,,
Something in the Orange,Zach Bryan,27,2024-07-10,2022-04-22,86.0,,,,
DEVIL IS A LIE,Tommy Richman,28,2024-07-10,2024-06-14,86.0,,,,
BAND4BAND (feat. Lil Baby),Central Cee,29,2024-07-10,2024-05-23,91.0,,,,
Cowgirls (feat. ERNEST),Morgan Wallen,30,2024-07-10,2023-03-03,86.0,,,,
Tobey (feat. Big Sean and BabyTron),Eminem,31,2024-07-10,2024-07-02,81.0,,,,
Scared To Start,Michael Marcagi,32,2024-07-10,2024-01-12,88.0,,,,
Belong Together,Mark Ambor,33,2024-07-10,2024-02-16,91.0,,,,
HOT TO GO!,Chappell Roan,34,2024-07-10,2023-09-22,88.0,,,,
Slow It Down,Benson Boone,35,2024-07-10,2024-04-05,89.0,,,,
Like That,Future,36,2024-07-10,2024-03-22,90.0,,,,
Heading South,Zach Bryan,37,2024-07-10,2019-09-30,85.0,,,,
you look like you love me (feat. Riley Green),Ella Langley,38,2024-07-10,2024-06-21,80.0,,,,
Cruel Summer,Taylor Swift,39,2024-07-10,2019-08-23,92.0,,,,
i like the way you kiss me,Artemas,40,2024-07-10,2024-03-19,95.0,,,,
I Don't Wanna Wait,David Guetta,41,2024-07-10,2024-04-05,90.0,,,,
End of Beginning,Djo,42,2024-07-10,2022-09-16,93.0,,,,
Fast Car,Luke Combs,43,2024-07-10,2023-03-24,85.0,,,,
we can't be friends (wait for your love),Ariana Grande,44,2024-07-10,2024-03-08,90.0,,,,
Gata Only,FloyyMenor,45,2024-07-10,2024-02-02,96.0,,,,
You Proof,Morgan Wallen,46,2024-07-10,2023-03-03,83.0,,,,
Thinkin’ Bout Me,Morgan Wallen,47,2024-07-10,2023-03-03,85.0,,,,
Wind Up Missin’ You,Tucker Wetmore,48,2024-07-10,2024-03-29,82.0,,,,
NIGHTS LIKE THIS,The Kid LAROI,49,2024-07-10,2023-11-10,84.0,,,,
Sun to Me,Zach Bryan,50,2024-07-10,2022-05-20,83.0,,,,
No Ponga Excusas,Cris Mj,1,2024-07-10,2024-06-20,76.0,,,,
SI NO ES CONTIGO,Cris Mj,2,2024-07-10,2024-05-23,88.0,,,,
Si Antes Te Hubiera Conocido,KAROL G,3,2024-07-10,2024-06-21,90.0,,,,
APAGA EL CEL,FloyyMenor,4,2024-07-10,2024-05-17,85.0,,,,
REAL GANGSTA LOVE,Trueno,5,2024-07-10,2024-05-23,91.0,,,,
Gata Only,FloyyMenor,6,2024-07-10,2024-02-02,96.0,,,,
MUJER FINA,Jere Klein,7,2024-07-10,2024-05-30,74.0,,,,
Mi Automóvil,Fran C,8,2024-07-10,2024-06-27,63.0,,,,
Instinto,Kidd Voodoo,9,2024-07-10,2024-07-04,62.0,,,,
Mirame,Blessd,10,2024-07-10,2024-04-17,82.0,,,,
Enrolar - Fantastic Four Remix,Kidd Voodoo,11,2024-07-10,2024-04-11,73.0,,,,
Gitana (feat. Bryartz),Pablo Chill-E,12,2024-07-10,2024-03-29,79.0,,,,
Avísame,Lucky Brown,13,2024-07-10,2024-05-03,74.0,,,,
SOLO DIME,Jere Klein,14,2024-07-10,2024-05-30,71.0,,,,
LUNA,Feid,15,2024-07-10,2023-12-01,90.0,,,,
Daytona,Cris Mj,16,2024-07-10,2023-11-09,80.0,,,,
Coa Xorete,Lucky Brown,17,2024-07-10,2024-03-14,71.0,,,,
Bastardo (feat. Ñengo Flow & Jere Klein),Pablo Chill-E,18,2024-07-10,2024-03-29,73.0,,,,
Diabólica,Cris Mj,19,2024-07-10,2023-11-09,76.0,,,,
ADIVINO,Myke Towers,20,2024-07-10,2024-04-25,88.0,,,,
miau,Young Cister,21,2024-07-10,2024-06-14,68.0,,,,
LUNA DILE,Gino Mella,22,2024-07-10,2024-07-04,57.0,,,,
Piel,Tiago PZK,23,2024-07-10,2024-07-04,60.0,,,,
REELS,Jere Klein,24,2024-07-10,2024-05-30,68.0,,,,
Escarlata - Remix,eleven1.1,25,2024-07-10,2024-02-22,70.0,,,,
Rapido (with Cris Mj),Dei V,26,2024-07-10,2024-06-14,78.0,,,,
Santa,Rvssian,27,2024-07-10,2024-04-03,84.0,,,,
Que Hay Amor,Cris Mj,28,2024-07-10,2024-04-04,76.0,,,,
Es un Secreto,Plan B,29,2024-07-10,2010-07-20,84.0,,,,
Ese Guille,Kidd Voodoo,30,2024-07-10,2024-02-29,70.0,,,,
Cuando Te Vi | CROSSOVER #5,Big One,31,2024-07-10,2024-06-27,77.0,,,,
Minnie <3,Kidd Voodoo,32,2024-07-10,2024-02-29,69.0,,,,
PRINCESITA DE ...,Jere Klein,33,2024-07-10,2023-12-01,72.0,,,,
¿Cuál Es Su Nombre?,Lucky Brown,34,2024-07-10,2023-09-14,70.0,,,,
AMARGURA,KAROL G,35,2024-07-10,2023-02-24,86.0,,,,
QLONA,KAROL G,36,2024-07-10,2023-08-10,86.0,,,,
Que Brille Sola Mami,Tobal Mj,37,2024-07-10,2024-04-13,66.0,,,,
SORRY 4 THAT MUCH,Feid,38,2024-07-10,2024-06-07,87.0,,,,
Please Please Please,Sabrina Carpenter,39,2024-07-10,2024-06-06,98.0,,,,
BBY BOO - REMIX,iZaak,40,2024-07-10,2024-03-27,83.0,,,,
Solos (feat. Plan B),Tony Dize,41,2024-07-10,2009-11-09,75.0,,,,
Partyson,Cris Mj,42,2024-07-10,2023-11-09,68.0,,,,
MI EX TENÍA RAZÓN,KAROL G,43,2024-07-10,2023-08-10,83.0,,,,
La Bachata,Manuel Turizo,44,2024-07-10,2023-03-17,85.0,,,,
